"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating.That's higher than O's #'s!",FALSE,60097,NA,2017-06-18 11:02:04,FALSE,NA,"876394578777174021",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14286,FALSE,FALSE,NA,NA
"2","...massive regulation cuts, 36 new legislative bills signed, great new S.C.Justice, and Infrastructure, Healthcare and Tax Cuts in works!",FALSE,51013,NA,2017-06-18 10:46:35,FALSE,NA,"876390681056600066",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11470,FALSE,FALSE,NA,NA
"3","The MAKE AMERICA GREAT AGAIN agenda is doing very well despite the distraction of the Witch Hunt. Many new jobs, high business enthusiasm,..",FALSE,59147,NA,2017-06-18 10:38:51,FALSE,NA,"876388733607694336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13595,FALSE,FALSE,NA,NA
"4","Thoughts and prayers with the sailors of USS Fitzgerald and their families. Thank you to our Japanese allies for th… https://t.co/BBvmTFxVkk",FALSE,73463,NA,2017-06-17 14:08:48,TRUE,NA,"876079184417882116",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18150,FALSE,FALSE,NA,NA
"5","RT @seanhannity: #Hannity Starts in 30 minutes with @newtgingrich and my monologue on the Deep State’s allies in the media",FALSE,0,NA,2017-06-17 01:31:01,FALSE,NA,"875888479942651909",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5305,TRUE,FALSE,NA,NA
"6","Back from Miami where my Cuban/American friends are very happy with what I signed today. Another campaign promise that I did not forget!",FALSE,94971,NA,2017-06-17 01:30:08,FALSE,NA,"875888258407858176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19880,FALSE,FALSE,NA,NA
"7","""National Security Presidential Memorandum on Strengthening the Policy of the United States Toward Cuba""
Memorandum… https://t.co/RVr9Dg2hXt",FALSE,38648,NA,2017-06-16 22:32:20,TRUE,NA,"875843513761583104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8600,FALSE,FALSE,NA,NA
"8","""Remarks by President Trump on the Policy of the U.S.A. Towards Cuba""
Video: https://t.co/jUWCjgxX5D
Transcript:… https://t.co/hILCHbPJet",FALSE,40835,NA,2017-06-16 22:18:54,TRUE,NA,"875840132238032897",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","realDonaldTrump",9706,FALSE,FALSE,NA,NA
"9","Great news! #MAGA https://t.co/pirHR7lAyT",FALSE,67730,NA,2017-06-16 15:12:27,FALSE,NA,"875732813278048256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17303,FALSE,FALSE,NA,NA
"10","I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt",FALSE,146156,NA,2017-06-16 13:07:55,FALSE,NA,"875701471999864833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",46403,FALSE,FALSE,NA,NA
"11","Despite the phony Witch Hunt going on in America, the economic &amp; jobs numbers are great. Regulations way down, jobs and enthusiasm way up!",FALSE,106627,NA,2017-06-16 12:54:22,FALSE,NA,"875698062030778368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23998,FALSE,FALSE,NA,NA
